OBJECTID;Anlage;Adresse;Typ;Gruppe;X;Y;Lon;Lat
255;Eislaufplatz O-Dorf;Kajetan-Sweth-Straße 14;Eislaufplatz;Eissport;83924,4415999996;237454,487299999;11,442086493;47,2705956830001
256;Sportanlage Ursulinengymnasium;Fürstenweg 86;Hallenbad;Schwimmen;78460,9776999997;236502,8783;11,3697323390001;47,2627116400001
257;Sportanlage Ursulinengymnasium;Fürstenweg 86;Sporthalle;Sporthalle;78473,7311000004;236471,289100001;11,369895292;47,2624260310001
258;Sportanlage PHT;Pastorstraße 7;Sporthalle;Sporthalle;80393,9205;235457,3084;11,395080561;47,2530754650001
259;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Kegelbahn;Sporthalle;82587,4687000001;237441,015799999;11,424419127;47,270643668
260;Tennis- und Squashcenter;Stadlweg 40;Tennishalle;Tennis/Squash;83088,2607000005;237015,2634;11,430956929;47,2667518230001
261;Tennis- und Squashcenter;Stadlweg 40;Squashhalle;Tennis/Squash;83112,2478999998;237013,5636;11,4312735240001;47,2667335080001
262;Tennis- und Squashcenter;Stadlweg 40;Tennishalle;Tennis/Squash;83136,8015999999;237012,430299999;11,431597708;47,2667202160001
263;Landessportcenter Tirol;Olympiastraße 10a;Sporthalle;Sporthalle;81616,3032999998;235932,0638;11,41131262;47,2571946460001
264;Landessportcenter Tirol;Olympiastraße 10a;Sporthalle;Sporthalle;81636,4921000004;235931,102399999;11,4115791250001;47,257183497
265;ACT Fitness Studio Tivoli GmbH;Stadionstraße 1;Fitnesscenter;Fitness/Klettern;81689,9040999999;235790,249500001;11,412258996;47,255910166
266;Inn-Lauf-Meilen;Karwendel Brücke bis New-Orleans-Brücke;Fitnessparkour;Fitness/Klettern;81506,8113000002;238506,415200001;11,4103346520001;47,2803596270001
267;Body and Soul;Mitterweg 16;Fitnesscenter;Fitness/Klettern;78941,1567000002;236174,222200001;11,376018038;47,2596985660001
268;Happy Fitness;Mitterweg 21;Fitnesscenter;Fitness/Klettern;78952,6458000001;236004,183599999;11,376139863;47,2581679940001
269;Sporthalle HTBLVA I Anichstraße;Anichstraße 26-28;Sporthalle;Sporthalle;79907,6336000003;236800,761;11,388896968;47,2652165640001
270;Sporthalle HTBLVA I Anichstraße;Anichstraße 26-28;Sporthalle;Sporthalle;79936,9697000002;236779,6117;11,389280768;47,2650228030001
271;Sporthalle ITV - Innsbrucker Turnverein;Fallmerayerstraße 12;Sporthalle;Sporthalle;80107,1870999997;236675,9121;11,3915110360001;47,2640695250001
272;Sporthalle ITV - Innsbrucker Turnverein;Fallmerayerstraße 12;Sporthalle;Sporthalle;80087,0612000003;236671,136499999;11,3912442970001;47,2640290250001
273;Sporthalle VS Hötting;Schulgasse 4;Sporthalle;Sporthalle;79672,5937000001;237586,187899999;11,3859314210001;47,272308536
274;Sporthalle VS Hötting;Schulgasse 4;Sporthalle;Sporthalle;79674,6884000003;237563,820599999;11,3859551200001;47,2721071290001
275;Judozentrum Innsbruck;Franz-Fischer-Straße 7c;Sporthalle;Sporthalle;80421,7136000004;236006,594900001;11,3955461900001;47,2580118990001
276;Sporthalle Akademisches Gymnasium Innsbruck;Angerzellgasse 14;Sporthalle;Sporthalle;80513,9134999998;237123,8409;11,3969648290001;47,2680481990001
277;Sporthalle BG/BRG Sillgasse;Sillgasse 10;Sporthalle;Sporthalle;80674,4168999996;237047,1413;11,399071604;47,2673387770001
278;City Squash and Fitness;Hunoldstraße 5;Fitnesscenter;Fitness/Klettern;81216,7050999999;236617,134400001;11,4061583180001;47,2634049850001
279;City Squash and Fitness;Hunoldstraße 5;Squashhalle;Tennis/Squash;81203,0481000002;236602,477600001;11,405975241;47,263274859
280;Sporthalle BG/BRG Reithmannstraße;Reithmannstraße 1-3;Sporthalle;Sporthalle;81913,3003000002;237505,0462;11,415523281;47,271303753
281;Sporthalle BG/BRG Reithmannstraße;Reithmannstraße 1-3;Sporthalle;Sporthalle;81938,3636999996;237469,1445;11,415847872;47,2709777650001
282;Body and Soul Women;Amraser-See-Straße 60;Fitnesscenter;Fitness/Klettern;83071,2352999998;236649,526799999;11,4306641910001;47,263464884
283;Vereinsheim Arzl;Schusterbergweg 15;Sporthalle;Sporthalle;83120,5996000003;238688,75;11,4316947720001;47,281797463
284;Sporthalle VS Pradl-Ost / Siegmairschule;Siegmairstraße 1;Sporthalle;Sporthalle;82363,2856999999;236783,2028;11,4213361490001;47,264756
285;Sporthalle VS Pradl-Ost / Siegmairschule;Siegmairstraße 1;Sporthalle;Sporthalle;82407,4959000004;236689,364499999;11,4219029610001;47,2639065710001
286;Tennisclub IEV;Reichenauer Straße 144;Beachvolleyballplatz;Funsport;82773,6248000003;237774,591499999;11,4269403800001;47,2736201450001
287;Sportanlage Hötting West;Franz-Baumann-Weg 8;Leichtathletikanlage;Sonstiges;76477,5888;236949,467900001;11,3436060540001;47,2669613150001
288;Sportanlage Hötting West;Franz-Baumann-Weg 8;Fußballplatz;Fußball/Football;76502,4707000004;236950,120300001;11,3439349060001;47,2669642910001
289;Sportanlage Hötting West;Franz-Baumann-Weg 8;Fußballplatz;Fußball/Football;76444,7598000001;236936,627;11,343170125;47,266849645
290;Sportanlage Hötting West;Franz-Baumann-Weg 8;Basketballplatz;Funsport;76522,1303000003;236895,156500001;11,344185265;47,2664677010001
291;Sportanlage Hötting West;Franz-Baumann-Weg 8;Eislauf-/Beachvolleyballpl.;Funsport;76500,2896999996;236890,8814;11,343895979;47,266431792
292;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;81397,2489;235765,508300001;11,408388814;47,2557239060001
293;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Basketballplatz;Funsport;81418,2481000004;235830,074999999;11,408677918;47,2563019670001
294;Tivoli Fußballplatz W1;Stadionstraße 1, Zugang Wiesengasse;Fußballplatz;Fußball/Football;81437,6155000003;235769,202199999;11,408922687;47,2557521350001
295;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;81398,1513;235823,123400001;11,4084111940001;47,2562419340001
296;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;81424,9652000004;235705,7576;11,4087440660001;47,2551831330001
297;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;81490,4239999997;235696,1786;11,4096069600001;47,2550888910001
298;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;81435,2001999998;235700,412699999;11,408878288;47,2551338000001
299;Spielplatz Tivoli;Olympiastraße;Sportplatz;Spielplatz;81365,6989000002;236085,2904;11,4080301110001;47,258603647
300;Spielplatz Tivoli;Olympiastraße;Streetballplatz;Funsport;81325,3650000002;236081,0595;11,407496544;47,2585705810001
301;Spielplatz Tivoli;Olympiastraße;Sportplatz;Spielplatz;81326,7752999999;236065,546499999;11,4075123600001;47,258430897
302;Freibad Gruberhof;Heiligwasserweg;Freibad;Schwimmen;81962,4533000002;232738,254799999;11,415301539;47,228429304
303;Olympia Golf;Badhausstraße;Golfplatz;Golf/Minigolf;82636,8221000005;232306,339500001;11,4241251620001;47,224460827
304;Billard-Sport-Arena;Bachlechnerstraße 46;Billard;Sonstiges;78907,6593000004;236710,1428;11,375669881;47,264522232
305;At Charly´s Friends;Adamgasse 23;Billard;Sonstiges;80651,8015000001;236324,882999999;11,3986428270001;47,2608461720001
306;Pool Café;Müllerstraße 27;Billard;Sonstiges;80050,0632999996;236341,2183;11,390696587;47,2610665130001
307;Billardlokal Verein Little Pool Team Innsbruck;Reichenauer Straße 19;Billard;Sonstiges;81533,1557;237388,674699999;11,410479309;47,270304416
308;Billardlokal Tiroler Pool Billard Trainingszentrum;Dörrstraße 51;Billard;Sonstiges;83542,8251999998;238336,484099999;11,4372088980001;47,27857605
309;Billardlokal Verein BC Grand Prix Innsbruck;Innrain 102;Billard;Sonstiges;79135,0199999996;235954,9734;11,3785402890001;47,257703545
310;WUB-Skatehalle;Matthias-Schmid-Straße 12;Skate-/Rollerbladehalle;Funsport;81826,3295;238145,567199999;11,4144911720001;47,277074832
311;Sporthalle BORG Fallmerayerstraße;Fallmerayerstraße 7;Sporthalle;Sporthalle;80235,8453000002;236590,0823;11,393195389;47,263281975
312;Minigolf Kranebitter Hof;Kranebitter Allee 203;Minigolfanlage;Golf/Minigolf;75360,5384;236401,628699999;11,3287553660001;47,2621632180001
313;BMX-Dirtpark;Hans-Flöckinger-Promenade;Skate-/Rollerbladeplatz;Funsport;76782,9988000002;235560,0745;11,347403166;47,254430536
314;Spielplatz Sauerweinwiese;Kranebitterbodenweg;Sportplatz;Spielplatz;75289,0820000004;236752,268300001;11,327870257;47,265324816
315;Baggersee;Archenweg;Sportplatz;Spielplatz;84130,8657999998;236819,894200001;11,4446947060001;47,264862427
316;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;81647,3300000001;232572,347200001;11,4111110540001;47,2269763790001
317;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;81619,6971000005;232591,3313;11,4107497000001;47,227150529
318;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;81633,7648;232581,485400001;11,41093363;47,2270602410001
319;Reitarena Innsbruck-Igls;Römerstraße 50;Reithalle;Sonstiges;82900,0542000001;232657,353800001;11,4276649290001;47,22758449
320;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Fußballplatz;Fußball/Football;82652,2618000004;237415,8946;11,425270579;47,270409618
321;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;82619,1836999999;237472,753;11,424844019;47,270925102
322;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;82695,8685999997;237471,311100001;11,4258569670001;47,270902504
323;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;82679,5774999997;237500,275;11,425647064;47,271165024
324;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;82661,9996999996;237491,7141;11,425413233;47,2710902440001
325;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;82646,2887000004;237484,100400001;11,4252042430001;47,271023746
326;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;82696,4400000004;237509,3225;11,4258715340001;47,2712442700001
327;Hallenbad Olympisches Dorf;Kugelfangweg 46;Hallenbad;Schwimmen;84296,9119999995;237332,3182;11,446984774;47,269449412
328;Spielplatz SOS - Kinderdorf;Hermann-Gmeiner-Straße 51;Sportplatz;Spielplatz;84270,6040000003;236329,305299999;11,446448543;47,260432682
329;Skigebiet Nordpark;Höhenstraße 145;Skigebiet;Wintersport;79145,9625000004;241504,1676;11,379665803;47,3076071070001
330;Sportanlage BHAK/BHAS Innsbruck;Karl-Schönherr-Straße 2;Sportplatz;Spielplatz;80762,4857000001;238023,2985;11,400411154;47,276106687
331;Sportkegelbahn VS Fischerstraße;Franz-Fischer-Straße 38;Kegelbahn;Sporthalle;79949,8711000001;236080,226299999;11,389326458;47,2587315390001
332;Sporthalle VS Fischerstraße;Franz-Fischer-Straße 38;Sporthalle;Sporthalle;79940,8344999999;236095,590600001;11,3892098260001;47,2588708100001
333;Sportanlage Wiesengasse;Wiesengasse 60;Fußballplatz;Fußball/Football;81844,3074000003;235695,304199999;11,414281177;47,2550371390001
334;Sportanlage Wiesengasse;Wiesengasse 60;Fußballplatz;Fußball/Football;81914,4568999996;235713,827400001;11,4152111510001;47,255194998
335;Sportanlage Wiesengasse;Wiesengasse 60;Fußballplatz;Fußball/Football;81988,0676999995;235729,1106;11,416186258;47,2553232810001
336;Freibad Tivoli;Purtschellerstraße 1;Beachvolleyballplatz;Funsport;81330,5389999999;236208,1305;11,407587947;47,2597127080001
337;Freibad Tivoli;Purtschellerstraße 1;Beachvolleyballplatz;Funsport;81327,2931000004;236221,8312;11,4075475550001;47,2598363210001
338;Spielplatz Lodenareal;Lodenareal;Sportplatz;Spielplatz;82199,1442;238146,0767;11,419417733;47,2770329460001
339;Spielplatz Kirchmayrgasse;Kirchmayrgasse;Sportplatz;Spielplatz;83143,0422999999;236246,5416;11,4315380570001;47,259831751
340;Sporthalle VS Innere Stadt;Angerzellgasse 12;Sporthalle;Sporthalle;80449,9622999998;237130,465399999;11,396121088;47,2681155930001
341;Sporthalle SPZ Schule am Inn;Hutterweg 1a;Sporthalle;Sporthalle;79376,9293999998;236724,2096;11,3818720370001;47,2645923260001
342;Sporthalle BRG in der Au;Bachlechnerstraße 35;Sporthalle;Sporthalle;78775,2757999999;236664,341499999;11,37391287;47,2641261850001
