OBJECTID;Anlage;Adresse;Typ;Gruppe;X;Y;Lon;Lat
100;Sportanlage Andechsstraße;Andechsstraße 70;Fußballplatz;Fußball/Football;82393,8995000003;237022,800100001;11,421784652;47,2669068860001
101;Spielplatz Rapoldipark;Stadtpark Rapoldi;Sportplatz;Spielplatz;81248,6189000001;237025,334000001;11,406653942;47,267072037
102;Sportanlage Andechsstraße;Andechsstraße 70;Beachvolleyballplatz;Funsport;82352,1829000004;237022,562999999;11,421233461;47,266909974
103;Sportanlage Andechsstraße;Andechsstraße 70;Streetballplatz;Funsport;82325,2016000003;237027,324999999;11,4208778670001;47,266956174
104;Spielplatz Lohbach;Lohbachufer;Skate-/Rollerbladeplatz;Funsport;76501,5028999997;237007,247500001;11,343931872;47,267478166
105;Sportanlage Andechsstraße;Andechsstraße 70;Basketballplatz;Funsport;82311,1672999999;237016,841600001;11,4206905240001;47,2668636510001
106;Sportanlage Andechsstraße;Andechsstraße 70;Streetballplatz;Funsport;82322,04;237017,8379;11,420834353;47,2668712510001
107;Sportanlage Andechsstraße;Andechsstraße 70;Streetballplatz;Funsport;82318,8784999996;237008,3508;11,420790842;47,2667863290001
108;Sportanlage Andechsstraße;Andechsstraße 70;Beachsoccerplatz;Funsport;82345,1722999997;237001,580499999;11,4211369830001;47,266722154
109;Kegelbahn NMS Hötting West;Viktor-Franz-Hess-Straße 9;Kegelbahn;Sporthalle;76557,0045999996;236999,7333;11,344663886;47,267404137
110;Eisschützenclub Tirol;Egerdachstraße 71;Bocciabahn;Sonstiges;82373,2948000003;236964,9388;11,421501791;47,266389114
111;Spielplatz Lohbach;Lohbachufer;Sportplatz;Spielplatz;76394,1224999996;236949,1479;11,3425032380001;47,266968127
112;Eisschützenclub Tirol;Egerdachstraße 71;Bocciabahn;Sonstiges;82373,4046;236958,717900001;11,4215020980001;47,266333155
113;Sporthalle NMS Hötting West;Viktor-Franz-Hess-Straße 9;Sporthalle;Sporthalle;76567,1782999998;236942,322799999;11,3447884940001;47,2668866440001
114;Eislaufplatz Sparkassenplatz;Sparkassenplatz;Eislaufplatz;Eissport;80354,8525999999;236895,7488;11,3948223950001;47,2660163680001
115;Spielplatz Rapoldipark;Stadtpark Rapoldi;Skate-/Rollerbladeplatz;Funsport;81168,4367000004;236841,4267;11,405561275;47,265428028
116;Hallenbad Amraser Straße;Amraser Straße 3;Hallenbad;Schwimmen;81148,5005999999;236812,1502;11,4052925890001;47,265167198
117;Hallenbad Höttinger Au;Fürstenweg 12;Hallenbad;Schwimmen;79286,1891000001;236791,628599999;11,380685167;47,2652095720001
118;Hallenbad Amraser Straße;Amraser Straße 3;Hallenbad;Schwimmen;81158,9738999996;236785,4899;11,4054261270001;47,264926148
119;Sportanlage NMS Hötting;Fürstenweg 13;Sportplatz;Spielplatz;79419,6456000004;236753,1578;11,3824415030001;47,264847511
120;Spielplatz Kranewitterpark;Kranewitterstraße;Sportplatz;Spielplatz;82268,4627;236762,5527;11,420079635;47,264582149
121;Sportanlage NMS Hötting;Fürstenweg 13;Sporthalle;Sporthalle;79356,1579999998;236751,0063;11,381602365;47,2648358180001
122;Streetballplatz Prandtauerufer;Prandtauerufer;Streetballplatz;Funsport;79442,6206;236731,6501;11,382741222;47,264651316
123;Spielplatz Ursulinenpark;Ursulinenweg;Basketballplatz;Funsport;78138,3130000001;236586,8073;11,36548428;47,263504805
124;Sportanlage Ursulinengymnasium;Fürstenweg 86;Sportplatz;Spielplatz;78409,4474999998;236444,625700001;11,3690413890001;47,2621938990001
125;Fitness- und Karatecenter Haslwanter;Reimmichlgasse 9;Fitnesscenter;Fitness/Klettern;78336,4627;236480,358100001;11,368083449;47,262523936
126;Tennisplatz Kranebitter Allee;Kranebitter Allee;Tennisplatz;Tennis/Squash;76913,0826000003;236474,4038;11,3492782870001;47,262638194
127;Innsbrucker Taekwon-do-Center;Andreas-Hofer-Straße 5;Fitnesscenter;Fitness/Klettern;80113,8091000002;236417,931299999;11,391552405;47,261748653
128;Streetballplatz Arthur-Haidl-Promenade;Fischnalerstraße;Streetballplatz;Funsport;79242,2017999999;236392,0888;11,3800333880001;47,261621726
129;Sporthalle NMS Müllerstraße;Müllerstraße 38;Sporthalle;Sporthalle;79846,2254999997;236386,564999999;11,3880118860001;47,2614990760001
130;Freibad Tivoli;Purtschellerstraße 1;Freibad;Schwimmen;81278,1200000001;236345,420700001;11,406920389;47,2609538500001
131;Sporthalle NMS Dr.-Fritz-Prior;Leopoldstraße 15;Sporthalle;Sporthalle;80510,8130999999;236342,382300001;11,3967834700001;47,2610208020001
132;Freibad Tivoli;Purtschellerstraße 1;Freibad;Schwimmen;81385,2498000003;236306,4877;11,4083285340001;47,2605904870001
133;Freibad Tivoli;Purtschellerstraße 1;Freibad;Schwimmen;81290,3098999998;236303,590399999;11,4070738340001;47,26057616
134;Freibad Tivoli;Purtschellerstraße 1;Freibad;Schwimmen;81412,5323999999;236270,3038;11,4086823710001;47,260261707
135;Sporthalle VS Angergasse;Angergasse 18;Sporthalle;Sporthalle;78450,4682;236255,034700001;11,369550121;47,260483976
136;Spielplatz Angergasse;Angergasse;Sportplatz;Spielplatz;78482,2959000003;236195,2596;11,36996011;47,259942611
137;Eisschützenclub Tivoli;Bleichenweg 54;Bocciabahn;Sonstiges;83382,3360000001;236201,323899999;11,434690689;47,2593948420001
138;Freibad Tivoli;Purtschellerstraße 1;Freibad;Schwimmen;81401,7270999998;236189,143300001;11,4085248920001;47,2595331570001
139;Sporthalle VS Amras;Kirchsteig 8;Sporthalle;Sporthalle;82931,0314999996;236094,9442;11,428709364;47,2584951650001
140;Boccia-/Stockschießanlage Wilten West / Besele II;Innerkoflerstraße 11c;Bocciabahn;Sonstiges;79573,8232000005;236064,8222;11,3843561950001;47,258638558
141;Sportanlage HTBLVA II Trenkwalderstraße;Mitterweg 17;Sportplatz;Spielplatz;79029,3239000002;236048,678099999;11,377160604;47,2585589450001
142;Boccia-/Stockschießanlage Wilten West / Besele I;Innerkoflerstraße 11b;Bocciabahn;Sonstiges;79557,3271000003;236057,8236;11,3841370430001;47,2585776110001
143;Sportanlage HTBLVA II Trenkwalderstraße;Mitterweg 17;Sporthalle;Sporthalle;78996,9627999999;236051,936000001;11,3767336930001;47,258592127
144;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;77760,1793;236056,134199999;11,360396655;47,2587770900001
145;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;77570,0557000004;236038,158500001;11,357882021;47,258637853
146;Olympiahalle;Olympiastraße 10;Eishalle;Eissport;81481,9698999999;236003,579600001;11,4095511630001;47,2578544340001
147;Sparkassentennisclub;Fürstenweg 172b;Tennisplatz;Tennis/Squash;77554,3019000003;236031,773;11,3576728090001;47,2585822820001
148;Tiroler Wasserkraft Arena;Olympiastraße 10;Eishalle;Eissport;81561,5268999999;236017,2709;11,4106045620001;47,257967711
149;Universitätssportanlagen;Fürstenweg 185;Tennisplatz;Tennis/Squash;77771,6765000001;236027,9781;11,360543648;47,2585225170001
